# Generation      Maximum Fitness      Average Fitness      Minimum Fitness
0                  0.1527504595         0.0234542883         0.0028137688
1                  0.1527504595         0.0301662854         0.0018691279
2                  0.1527504595         0.0349343049        -0.0004376090
3                  0.2035355256         0.0423603507         0.0026465560
4                  0.2035355256         0.0516809423         0.0041803139
5                  0.2035355256         0.0599944258         0.0127271980
6                  0.3350807554         0.0857841346         0.0143879962
7                  0.3350807554         0.0862845617         0.0100533679
8                  0.3350807554         0.1122048725         0.0199271407
9                  0.3350807554         0.1269710870         0.0091817583
10                 0.5237412147         0.1422900394         0.0043942014
11                 0.5237412147         0.1698319696         0.0035132202
12                 0.5237412147         0.1903857781         0.0403155000
13                 0.5237412147         0.2155033205         0.0968941953
14                 0.5513069511         0.2450046355         0.0936399619
15                 0.5513069511         0.2875668044         0.1002012728
16                 0.5513069511         0.2897078571         0.0003588836
17                 0.5513069511         0.2780157756         0.0047818254
18                 0.5513069511         0.3186706499         0.1143533763
19                 0.5513069511         0.3089780894         0.0060607569
20                 0.6260253912         0.3129160219         0.1057573474
21                 0.7923984528         0.3138500111         0.0045537081
22                 0.7923984528         0.3420225577         0.0849269655
23                 0.7923984528         0.3735674791         0.0411128646
24                 0.7923984528         0.3998577442         0.0059816556
25                 0.7923984528         0.4594400433         0.1001625775
26                 0.7923984528         0.5140973655         0.2065890643
27                 0.7923984528         0.5606145005         0.1625007914
28                 0.7923984528         0.5447588466        -0.0006215849
29                 0.7923984528         0.5759459681         0.1017274587
30                 0.9196458401         0.5962974706         0.2777479228
31                 0.9196458401         0.5980602325         0.2617691849
32                 0.9196458401         0.6043797159         0.0074991129
33                 0.9196458401         0.5995886981         0.0578634923
34                 0.9196458401         0.6141230487         0.3801275448
35                 0.9196458401         0.6011551164         0.0599926596
36                 0.9196458401         0.6077244492         0.2722979993
37                 0.9196458401         0.5931960103         0.0140878896
38                 0.9196458401         0.5933799451         0.1333167732
39                 0.9196458401         0.5946260599         0.0951699430
40                 0.9196458401         0.5680994550         0.0053015137
41                 0.9196458401         0.5720913825         0.0194387329
42                 0.9196458401         0.5857724840         0.1625022528
